ID_Cliente,Fecha,Categoria,Monto,ID_Transaccion,Nombre,Edad,Ciudad,Cantidad_Compras,Monto_Total,Valor_Dolar
439,2025-09-04,Alimentos,38532,1964,Sofía Soto,43.0,Temuco,9,210266,969.46
359,2025-08-18,Hogar,143159,1581,Sofía Vergara,47.0,Santiago,7,452801,961.84
54,2025-11-17,Alimentos,35914,252,Benjamín Díaz,39.0,Temuco,7,212648,932.63
366,2025-09-11,Deportes,4494,1618,Tomás Vergara,46.0,TEMUCO,2,19209,962.73
208,2025-05-12,Electrónica,44655,931,Catalina Silva,,La Serena,8,176337,933.26
174,2025-12-21,Moda,46578,773,Daniela Céspedes,56.0,Concepción,9,218391,
301,2026-01-19,Electrónica,4396,1350,Josefa González,43.0,La Serena,2,75536,
123,2025-12-16,Moda,28603,545,Joaquín Muñoz,32.0,Talca,4,73665,912.03
221,2025-08-08,Electrónica,9180,1006,Camila Céspedes,39.0,Valparaíso,4,115199,971.88
483,2025-08-03,Moda,53077,2156,Martina Contreras,28.0,La Serena,3,63630,
409,2025-10-01,Belleza,78189,1828,Antonia Pérez,120.0,Santiago,4,178955,962.39
88,2025-12-18,Electrónica,8145,409,Mateo Céspedes,18.0,Santiago,5,101839,917.45
172,2025-12-12,Belleza,1744,757,Sofía Silva,34.0,Concepción,9,167098,916.9
365,2025-03-18,Moda,2354,1610,Camila Sepúlveda,22.0,Santiago,12,228862,923.32
331,2025-07-24,Alimentos,26135,1467,Tomás Rojas,27.0,Concepción,3,137588,948.93
392,2026-01-22,Belleza,1500,1749,Valentina Vergara,,Rancagua,5,125042,
141,2025-03-21,Electrónica,14822,630,Catalina Vergara,25.0,La Serena,4,122536,926.15
466,2025-05-18,Juguetes,60772,2072,Catalina Silva,,Valparaíso,6,191442,
115,2025-04-24,Deportes,37890,508,Tomás Vergara,33.0,Santiago,2,60053,938.02
21,2025-07-27,Belleza,29723,97,Tomás Pérez,39.0,Antofagasta,4,125113,
389,2026-01-11,Alimentos,22950,1740,Gabriel González,41.0,Santiago,5,66038,
372,2025-11-26,Electrónica,1500,1652,Joaquín Muñoz,68.0,Santiago,3,118400,937.15
102,2025-03-08,Juguetes,40739,462,Valentina Martínez,52.0,La Serena,6,314147,
396,2025-02-20,Belleza,15199,1764,Gabriel Silva,18.0,Temuco,6,165555,951.78
339,2025-07-02,Belleza,25425,1495,Isidora González,18.0,Santiago,4,116915,926.62
232,2025-08-19,Belleza,3403,1056,Gabriel Pérez,53.0,Santiago,7,128605,966.24
133,2025-03-17,Belleza,24200,591,Sofía Soto,50.0,Santiago,2,40595,932.36
306,2025-02-17,Deportes,127684,1369,Camila Martínez,31.0,Santiago,4,148466,939.54
406,2025-04-03,Moda,35023,1799,Tomás Vergara,40.0,Concepción,13,379598,949.83
245,2026-01-08,,16307,1114,Lucas Sepúlveda,29.0,VALPARAÍSO,2,26431,
29,2025-03-31,Belleza,12583,135,Tomás Torres,39.0,La Serena,3,27943,946.1
455,2025-04-04,Hogar,12204,2022,Vicente Martínez,32.0,Temuco,4,127201,946.59
286,2025-07-26,,19512,1279,Antonia Silva,25.0,Santiago,3,88755,
414,2025-08-31,Electrónica,6459,1850,Camila Flores,,Talca  ,10,259794,
107,2025-10-16,Moda,12759,486,Fernanda Díaz,18.0,Antofagasta,3,75888,959.36
439,2025-04-05,Electrónica,44911,1968,Sofía Soto,43.0,Temuco,9,210266,
73,2025-03-04,Electrónica,44402,343,Benjamín Rojas,43.0,Valparaíso,7,379422,953.11
245,2025-04-26,Juguetes,9129,1113,Lucas Sepúlveda,29.0,VALPARAÍSO,2,26431,
486,2025-08-21,Alimentos,12100,2167,Isidora Vergara,34.0,Temuco,3,42207,965.06
493,2025-09-14,Electrónica,77112,2197,Fernanda Muñoz,39.0,Antofagasta,3,203724,
229,2025-05-22,Deportes,7174,1044,Tomás Soto,59.0,Valparaíso,5,143760,942.21
487,2025-03-23,Electrónica,118278,2172,Mateo Silva,,Santiago  ,5,557911,
169,2025-06-28,Moda,20811,742,Mateo Torres,50.0,Santiago,2,39306,
81,2025-02-25,Moda,85605,368,Antonia Céspedes,42.0,Valparaíso,8,276772,946.96
316,2025-04-18,Moda,21027,1403,Joaquín Sepúlveda,18.0,Temuco,4,102841,
52,2025-11-18,Deportes,123404,248,Valentina Pérez,31.0,Santiago,4,362249,919.82
143,2025-10-01,Hogar,12410,637,Martina Sepúlveda,45.0,Santiago,4,122993,962.39
389,2025-02-09,Belleza,9917,1739,Gabriel González,41.0,Santiago,5,66038,
101,2025-09-24,Deportes,32440,458,Ignacio Silva,40.0,Valparaíso  ,5,84892,952.87
365,2025-05-10,Electrónica,28197,1611,Camila Sepúlveda,22.0,Santiago,12,228862,
44,2025-06-14,Moda,6955,212,Josefa Muñoz,20.0,,2,44357,
289,2025-04-10,Belleza,8813,1299,Tomás Contreras,27.0,Antofagasta,8,376090,1000.01
281,2025-10-14,Hogar,24175,1252,Martina Torres,18.0,,6,227927,957.66
67,2025-08-17,Hogar,15929,322,Antonia Rojas,41.0,La Serena,3,29806,
275,2025-11-25,Alimentos,32572,1230,Pablo Sepúlveda,23.0,Santiago,5,97151,939.57
208,2025-12-19,Electrónica,4278,927,Catalina Silva,,La Serena,8,176337,914.99
64,2025-11-14,Moda,16062,308,Catalina Muñoz,49.0,Concepción,6,96146,925.63
184,2025-11-20,Hogar,12066,820,Joaquín Flores,37.0,Valparaíso  ,6,133934,931.36
418,2025-11-18,Deportes,22043,1873,Camila Martínez,18.0,Santiago,6,100695,919.82
293,2025-10-28,Juguetes,7232,1318,Catalina Martínez,29.0,SANTIAGO,6,79282,938.19
244,2025-09-23,Hogar,7045,1107,Lucas Rojas,46.0,Santiago,7,49886,954.72
10,2025-03-02,Alimentos,171120,45,Sofía Rojas,48.0,Santiago,8,1333744,
457,2025-04-13,Moda,3757,2031,Camila Pérez,52.0,La Serena,2,12377,
51,2025-07-29,Deportes,6036,241,Fernanda Sepúlveda,32.0,Valparaíso,6,65689,969.75
365,2025-07-11,Belleza,55350,1606,Camila Sepúlveda,22.0,Santiago,12,228862,950.43
408,2025-12-05,Moda,51929,1825,Camila Muñoz,35.0,Santiago,6,213680,918.15
318,2025-03-28,Juguetes,18826,1411,Daniela Céspedes,36.0,Valparaíso,3,79499,931.75
267,2025-12-30,Moda,5898,1195,Pablo Silva,36.0,Santiago,4,58791,911.18
414,2025-06-24,Juguetes,1500,1857,Camila Flores,,Talca  ,10,259794,950.16
136,2025-03-24,Moda,17764,603,Mateo Vergara,42.0,Santiago,3,95853,932.14
434,2025-12-13,Moda,13769,1938,Camila Vergara,49.0,La Serena,2,55146,
500,2025-02-25,,1502,2219,Pablo Contreras,20.0,Santiago,4,42341,946.96
448,2025-06-12,Electrónica,26742,2004,Catalina Céspedes,51.0,Antofagasta,5,186536,936.36
400,2025-05-29,Deportes,61250,1781,Mateo Silva,21.0,Valparaíso,4,121404,940.21
93,2025-03-01,Alimentos,3580,427,Ignacio Rojas,40.0,Santiago,5,86792,
15,2025-05-10,Juguetes,22829,71,Daniela Flores,18.0,Santiago,2,52368,
452,2026-01-16,Hogar,94916,2016,Antonia Díaz,47.0,Santiago,2,100437,
209,2025-10-07,Hogar,5414,933,Martina Soto,18.0,Santiago  ,10,82407,963.09
212,2025-07-03,Hogar,3725,953,Daniela Contreras,39.0,Concepción,6,109197,926.51
81,2026-01-19,Electrónica,38499,367,Antonia Céspedes,42.0,Valparaíso,8,276772,
490,2025-05-15,Electrónica,7523,2186,Lucas Sepúlveda,63.0,Antofagasta,7,163898,939.43
116,2025-07-04,Belleza,54383,510,Vicente Silva,40.0,La Serena,7,224345,927.87
94,2025-09-22,Alimentos,19118,431,Josefa Flores,33.0,Concepción,2,68599,951.03
464,2025-05-04,Deportes,64291,2055,Pablo Rojas,32.0,SANTIAGO,10,401861,
407,2025-05-29,Belleza,5626,1812,Pablo Pérez,18.0,Valparaíso,10,127768,940.21
40,2025-05-02,Deportes,5116,189,Lucas González,43.0,Antofagasta,7,242135,955.67
236,2025-04-11,Electrónica,32233,1072,Daniela Vergara,40.0,Concepción,3,66299,988.97
369,2025-04-15,Belleza,9318,1640,Ana Soto,57.0,Santiago,12,131047,966.07
218,2025-09-18,Juguetes,31718,994,Sofía Soto,35.0,Santiago,5,166427,
135,2025-06-24,Belleza,20062,597,Fernanda Muñoz,42.0,Santiago,4,59481,950.16
320,2025-05-27,Deportes,31043,1420,Fernanda Flores,19.0,Santiago  ,7,148631,938.28
119,2025-06-18,Juguetes,8209,531,Isidora González,30.0,Santiago,5,112218,939.29
7,2025-08-10,Juguetes,11261,30,Sofía Contreras,42.0,Santiago,6,83749,
41,2025-06-21,Juguetes,25299,197,Valentina Vergara,31.0,Talca,4,106925,
142,2025-04-14,Alimentos,99808,633,Isidora Torres,51.0,Antofagasta,5,347936,978.09
177,2025-10-25,Juguetes,12877,789,Daniela Silva,28.0,Temuco,8,237786,
226,2025-05-08,Electrónica,27295,1030,Mateo Céspedes,32.0,Santiago,8,160620,945.44
184,2025-12-21,Alimentos,2616,817,Joaquín Flores,37.0,Valparaíso  ,6,133934,
310,2026-01-22,Moda,1500,1380,Camila Flores,28.0,Talca  ,4,27904,
12,2025-02-20,Hogar,7357,52,Catalina Martínez,18.0,Antofagasta,6,121573,951.78
235,2025-02-05,Electrónica,49302,1069,Benjamín Muñoz,29.0,Santiago,3,91475,977.58
252,2025-05-26,Belleza,4700,1132,Benjamín Muñoz,21.0,Santiago,3,49867,940.81
468,2025-02-28,Belleza,37215,2085,Vicente Díaz,38.0,Santiago,9,631306,951.21
54,2025-03-12,Juguetes,32067,255,Benjamín Díaz,39.0,Temuco,7,212648,937.45
289,2025-07-22,Moda,77874,1293,Tomás Contreras,27.0,Antofagasta,8,376090,956.65
428,2025-06-19,Electrónica,3167,1917,Ignacio Díaz,18.0,Antofagasta,4,50262,943.36
410,2025-02-11,Alimentos,3591,1832,Ana Céspedes,42.0,Santiago,3,82997,960.81
377,2025-06-25,Hogar,3812,1676,Daniela Contreras,29.0,Santiago,7,101601,937.89
253,2025-05-17,Juguetes,78807,1136,Valentina Céspedes,51.0,Santiago,6,225366,
429,2025-06-07,Hogar,29288,1923,Ana Pérez,57.0,Concepción,5,172902,
350,2025-12-11,Belleza,9724,1544,Valentina Silva,33.0,Rancagua,3,74270,923.99
416,2025-11-01,Alimentos,20727,1866,Joaquín Soto,31.0,Rancagua,6,291890,
151,2025-06-26,Alimentos,12180,673,Gabriel Soto,31.0,Santiago,5,189609,936.29
448,2025-03-06,Belleza,86658,2002,Catalina Céspedes,51.0,Antofagasta,5,186536,936.7
116,2026-01-04,Electrónica,80492,515,Vicente Silva,40.0,La Serena,7,224345,
460,2025-06-08,Alimentos,80722,2043,Camila Pérez,45.0,Valparaíso,3,177915,
62,2025-12-22,Moda,1500,299,Daniela González,35.0,Santiago,8,111464,909.9
244,2025-08-01,Belleza,5734,1112,Lucas Rojas,46.0,Santiago,7,49886,976.8
209,2025-03-17,Electrónica,3382,938,Martina Soto,18.0,Santiago  ,10,82407,932.36
61,2025-07-31,Alimentos,30109,291,Antonia Contreras,35.0,Santiago,5,172945,978.07
346,2025-12-09,Juguetes,4742,1524,Martina González,27.0,Temuco,2,40441,920.02
15,2025-06-27,Belleza,26491,70,Daniela Flores,18.0,Santiago,2,52368,930.67
406,2025-12-31,Belleza,5308,1802,Tomás Vergara,40.0,Concepción,13,379598,
479,2025-12-26,Electrónica,78222,2138,Joaquín Díaz,38.0,Valparaíso,7,183710,905.04
357,2025-05-06,Deportes,11506,1575,Valentina Rojas,18.0,La Serena,2,60785,940.18
472,2025-12-07,Belleza,1500,2098,Ignacio Pérez,20.0,Santiago,4,135198,
87,2025-12-02,Hogar,111616,403,Sofía Vergara,,Santiago,7,451909,927.95
102,2025-04-11,Belleza,18305,465,Valentina Martínez,52.0,La Serena,6,314147,988.97
388,2025-08-19,Electrónica,7548,1729,Ignacio Muñoz,58.0,Santiago,7,71668,966.24
282,2026-01-20,Belleza,29853,1262,Benjamín Silva,33.0,Temuco,6,93747,
119,2025-12-13,Alimentos,31539,528,Isidora González,30.0,Santiago,5,112218,
237,2025-12-18,Alimentos,28284,1076,Joaquín Martínez,34.0,Santiago,5,126680,917.45
464,2025-11-25,Deportes,30432,2061,Pablo Rojas,32.0,SANTIAGO,10,401861,939.57
146,2025-03-31,Deportes,45181,648,Gabriel Díaz,21.0,Antofagasta,7,146872,946.1
329,2025-06-26,Moda,1500,1457,Camila Torres,45.0,Temuco,8,243402,936.29
119,2025-07-11,Juguetes,25442,530,Isidora González,30.0,Santiago,5,112218,950.43
410,2025-09-13,Electrónica,62142,1833,Ana Céspedes,42.0,Santiago,3,82997,
18,2025-06-14,Moda,17148,85,Camila González,39.0,LA SERENA,5,47001,
489,2025-03-21,Belleza,3858,2181,Fernanda Rojas,34.0,Santiago,10,136926,926.15
373,2025-12-03,Alimentos,569160,1653,Pablo Céspedes,32.0,,1,18175,925.37
16,2025-08-25,Deportes,7002,74,Fernanda Céspedes,38.0,Santiago,4,295672,964.15
24,2025-10-25,Belleza,13056,110,Antonia Sepúlveda,45.0,Concepción,4,73085,
435,2025-12-25,Moda,2734,1942,Pablo Soto,31.0,La Serena,5,12466,
280,2025-02-11,Hogar,19802,1249,Sofía Sepúlveda,30.0,,3,72129,960.81
377,2025-05-14,Juguetes,27414,1670,Daniela Contreras,29.0,Santiago,7,101601,940.18
487,2025-12-11,Hogar,193015,2168,Mateo Silva,,Santiago  ,5,557911,923.99
60,2025-10-15,Juguetes,43567,283,Joaquín Sepúlveda,18.0,Valparaíso,6,237199,963.69
11,2025-07-13,Hogar,55221,49,Tomás Flores,,Santiago,5,150627,
239,2025-06-28,Belleza,15997,1085,Mateo Martínez,27.0,Santiago,7,68480,
330,2026-01-20,Belleza,10080,1464,Vicente González,18.0,Santiago,2,51686,
272,2025-05-27,Moda,187170,1217,Ana Flores,42.0,Valparaíso,8,469265,938.28
470,2025-04-02,Alimentos,12652,2095,Antonia González,30.0,Santiago,5,136103,946.28
207,2025-09-04,Electrónica,23269,924,Fernanda González,23.0,Antofagasta,6,158417,969.46
209,2025-03-17,Electrónica,3382,938,Martina Soto,18.0,Santiago  ,10,82407,932.36
430,2025-10-01,Deportes,9711,1925,Daniela Silva,42.0,La Serena,2,37400,962.39
492,2025-05-02,Belleza,101532,2196,Gabriel Contreras,56.0,LA SERENA,5,198661,955.67
231,2025-09-18,Electrónica,20138,1051,Benjamín Martínez,24.0,Santiago,6,125732,
302,2025-02-07,Belleza,53550,1352,Ignacio Díaz,43.0,Santiago,8,248894,967.59
219,2025-05-06,Moda,77033,998,Pablo Rojas,18.0,Concepción,5,110395,940.18
376,2026-01-23,Juguetes,20701,1669,Sofía Contreras,40.0,Temuco,6,88284,
55,2025-11-10,Alimentos,20732,260,Benjamín Flores,,Santiago,6,180447,946.24
239,2025-09-06,Alimentos,13727,1088,Mateo Martínez,27.0,Santiago,7,68480,
216,2025-10-15,Moda,12989,977,Martina Sepúlveda,25.0,Santiago,9,68242,963.69
364,2025-06-09,Deportes,8367,1605,Gabriel Martínez,18.0,Valparaíso,6,75876,933.91
258,2025-07-19,Deportes,101856,1160,Camila Pérez,24.0,TEMUCO,2,126245,
277,2025-12-10,Deportes,18240,1238,Benjamín Pérez,,Concepción,5,118679,926.89
336,2025-07-08,Belleza,2891,1484,Ignacio Martínez,42.0,Valparaíso  ,8,162645,940.28
173,2025-12-27,Alimentos,26422,765,Fernanda Silva,35.0,Talca,4,98255,
5,2025-04-06,Deportes,50170,19,Pablo Rojas,34.0,Valparaíso,3,144745,
439,2025-06-05,Hogar,4284,1966,Sofía Soto,43.0,Temuco,9,210266,936.89
401,2025-04-28,Deportes,26709,1784,Catalina González,51.0,Valparaíso,2,140396,936.74
468,2025-05-02,Hogar,90989,2087,Vicente Díaz,38.0,Santiago,9,631306,955.67
289,2025-08-19,Hogar,30966,1300,Tomás Contreras,27.0,Antofagasta,8,376090,966.24
403,2025-05-13,Belleza,27940,1790,Mateo Rojas,150.0,Santiago,1,29963,941.2
14,2025-10-15,Juguetes,1893,68,Fernanda Sepúlveda,41.0,Santiago,5,41234,963.69
489,2025-03-11,,1500,2174,Fernanda Rojas,34.0,Santiago,10,136926,931.13
204,2026-01-03,Deportes,7426,901,Joaquín Muñoz,21.0,Temuco,6,90057,
226,2025-09-27,Moda,3504,1024,Mateo Céspedes,32.0,Santiago,8,160620,
139,2025-12-03,Deportes,8704,618,Mateo Sepúlveda,43.0,La Serena,5,63124,925.37
278,2025-07-20,Alimentos,1500,1243,Fernanda Céspedes,48.0,Santiago,4,38836,
151,2025-02-26,Alimentos,34718,669,Gabriel Soto,31.0,Santiago,5,189609,940.99
287,2025-04-04,Electrónica,16110,1286,Valentina González,39.0,Antofagasta,6,184961,946.59
35,2025-11-10,,2931,169,Gabriel Silva,26.0,Santiago,7,100129,946.24
382,2025-02-12,Belleza,16649,1704,Antonia Sepúlveda,46.0,CONCEPCIÓN,4,74619,961.89
138,2025-11-02,Belleza,65278,611,Ana Díaz,22.0,LA SERENA,6,143559,
243,2025-04-10,Juguetes,24597,1101,Sofía Silva,39.0,ANTOFAGASTA,6,237596,1000.01
168,2025-12-07,Moda,27002,737,Valentina Torres,33.0,Talca,7,155662,
404,2025-05-01,Electrónica,19606,1791,Catalina Torres,18.0,Valparaíso,4,114966,
189,2025-06-22,Moda,43539,841,Isidora Soto,36.0,La Serena,4,65099,
183,2025-07-28,Electrónica,15600,813,Benjamín Flores,47.0,Santiago,4,99309,957.82
361,2025-05-19,Belleza,11866,1591,Ignacio Flores,18.0,La Serena,5,80603,944.46
139,2025-03-04,Hogar,17641,619,Mateo Sepúlveda,43.0,La Serena,5,63124,953.11
159,2025-09-01,Belleza,1500,701,Tomás Céspedes,32.0,Concepción,6,109010,965.28
210,2025-04-29,Moda,2746,943,Fernanda Soto,26.0,VALPARAÍSO,3,133985,937.54
303,2025-10-30,Juguetes,84694,1360,Ana Contreras,42.0,Temuco,2,140864,940.57
413,2025-02-15,Electrónica,38509,1847,Martina Pérez,53.0,Temuco,3,91682,
345,2026-01-14,Electrónica,4276,1522,Antonia González,45.0,Santiago,3,87161,
171,2025-05-16,Deportes,10892,753,Camila Flores,35.0,Santiago,7,117552,940.25
220,2025-06-27,Juguetes,33253,1002,Antonia Silva,31.0,Rancagua,5,65478,930.67
431,2025-07-22,Juguetes,22112,1929,Sofía Contreras,33.0,Santiago  ,5,144048,956.65
421,2025-04-23,Hogar,11399,1884,Antonia Torres,22.0,Santiago,6,108194,950.04
375,2025-02-26,Deportes,15081,1659,Gabriel Vergara,40.0,La Serena,5,180519,940.99
381,2025-06-04,Deportes,102744,1698,Ana Céspedes,26.0,Santiago,9,445915,941.53
209,2025-03-20,Alimentos,1500,942,Martina Soto,18.0,Santiago  ,10,82407,917.76
157,2026-01-11,Belleza,35672,694,Camila Martínez,32.0,Antofagasta,6,149525,
351,2025-12-24,Electrónica,10569,1546,Tomás Flores,40.0,Santiago,8,244951,906.44
47,2025-08-13,Belleza,1500,219,Pablo Soto,18.0,SANTIAGO,9,66194,962.28
216,2026-01-11,Electrónica,2657,982,Martina Sepúlveda,25.0,Santiago,9,68242,
200,2025-05-07,Deportes,7565,880,Catalina Céspedes,64.0,Santiago,4,42180,939.67
49,2025-12-13,Moda,11113,232,Joaquín Contreras,23.0,La Serena,5,250520,
226,2025-09-29,Moda,11348,1028,Mateo Céspedes,32.0,Santiago,8,160620,958.9
29,2025-03-26,Moda,5572,136,Tomás Torres,39.0,La Serena,3,27943,919.92
7,2025-03-24,Electrónica,1500,26,Sofía Contreras,42.0,Santiago,6,83749,932.14
320,2025-12-16,,6662,1425,Fernanda Flores,19.0,Santiago  ,7,148631,912.03
169,2025-10-03,Deportes,21866,743,Mateo Torres,50.0,Santiago,2,39306,961.54
383,2025-02-28,Alimentos,1500,1709,Antonia Soto,34.0,Temuco,7,185769,951.21
427,2026-01-24,Electrónica,32671,1908,Gabriel Contreras,41.0,Santiago,8,309457,
142,2026-01-13,Belleza,52471,631,Isidora Torres,51.0,Antofagasta,5,347936,
63,2025-09-28,Alimentos,14929,304,Josefa Soto,48.0,,8,403211,
305,2025-06-17,Belleza,19059,1367,Tomás Martínez,52.0,Santiago,1,21096,935.21
71,2025-02-05,Belleza,34226,333,Fernanda Flores,28.0,Santiago,2,58250,977.58
87,2025-08-30,Moda,118719,407,Sofía Vergara,,Santiago,7,451909,
40,2025-09-06,Moda,29558,193,Lucas González,43.0,Antofagasta,7,242135,
214,2025-06-26,Deportes,37021,964,Pablo Martínez,19.0,Temuco,5,156582,936.29
205,2026-01-14,Belleza,54561,908,Benjamín Céspedes,18.0,Santiago,10,261664,
107,2025-11-13,Hogar,18814,487,Fernanda Díaz,18.0,Antofagasta,3,75888,932.37
273,2025-10-06,Belleza,18368,1222,Valentina González,54.0,Concepción,5,129998,963.17
126,2025-05-06,Deportes,53411,562,Vicente Rojas,45.0,Santiago,5,235402,940.18
28,2025-05-02,Belleza,18956,129,Ignacio Muñoz,34.0,Talca,7,220161,955.67
210,2025-02-06,Electrónica,120235,945,Fernanda Soto,26.0,VALPARAÍSO,3,133985,969.47
49,2025-02-06,Belleza,164368,234,Joaquín Contreras,23.0,La Serena,5,250520,969.47
386,2026-01-09,Hogar,7181,1721,Camila Martínez,19.0,Santiago,7,157740,
228,2025-04-03,Deportes,25916,1035,Vicente Céspedes,58.0,Santiago,6,438418,949.83
97,2025-03-08,Moda,24886,439,Isidora Silva,49.0,Concepción,5,88173,
435,2025-08-11,Hogar,1614,1944,Pablo Soto,31.0,La Serena,5,12466,965.64
98,2025-08-24,Juguetes,61706,446,Joaquín Martínez,27.0,Concepción,5,203985,
300,2025-03-21,Moda,10667,1348,Ana Soto,25.0,Concepción,3,25619,926.15
39,2025-05-06,Hogar,37720,185,Martina Contreras,39.0,SANTIAGO,4,166486,940.18
475,2025-10-09,Hogar,3182,2113,Lucas Muñoz,39.0,Santiago,4,60337,951.45
293,2025-06-21,Juguetes,10317,1319,Catalina Martínez,29.0,SANTIAGO,6,79282,
61,2026-01-21,Electrónica,7801,290,Antonia Contreras,35.0,Santiago,5,172945,
146,2025-05-06,Deportes,19890,650,Gabriel Díaz,21.0,Antofagasta,7,146872,940.18
106,2025-03-27,Moda,51722,480,Fernanda Contreras,32.0,La Serena,6,174363,920.98
441,2025-09-02,Juguetes,100088,1975,Catalina Vergara,43.0,Santiago,5,157918,968.35
104,2025-03-07,Hogar,1500,473,Ana Céspedes,33.0,La Serena,3,104280,926.52
119,2025-06-24,Electrónica,18860,529,Isidora González,30.0,Santiago,5,112218,950.16
184,2025-12-19,Moda,6323,818,Joaquín Flores,37.0,Valparaíso  ,6,133934,914.99
291,2025-07-16,Belleza,8981,1303,Ignacio Céspedes,35.0,Santiago,6,69563,
409,2026-02-01,Hogar,23601,1829,Antonia Pérez,120.0,Santiago,4,178955,
174,2026-01-18,Electrónica,22922,768,Daniela Céspedes,56.0,Concepción,9,218391,
342,2026-01-01,Belleza,44748,1509,Martina Vergara,,Antofagasta,5,189888,
83,2025-04-09,Hogar,7752,384,Valentina Céspedes,40.0,Santiago,8,184300,993.89
337,2025-03-27,Hogar,163932,1488,Catalina Sepúlveda,44.0,La Serena,2,188274,920.98
411,2025-09-14,Alimentos,13813,1836,Valentina Martínez,37.0,La Serena,5,46998,
321,2025-09-30,Moda,1500,1427,Mateo González,35.0,Santiago,3,35420,961.24
244,2025-04-13,Moda,8371,1111,Lucas Rojas,46.0,Santiago,7,49886,
182,2025-05-10,Alimentos,44551,811,Valentina Céspedes,47.0,Santiago,7,200149,
340,2025-06-24,Electrónica,6413,1503,Catalina Torres,23.0,Valparaíso,6,92219,950.16
95,2025-06-14,Deportes,22005,433,Gabriel Díaz,52.0,Santiago,4,122811,
177,2026-01-06,Juguetes,12440,786,Daniela Silva,28.0,Temuco,8,237786,
125,2025-04-13,Belleza,7095,555,Gabriel Silva,35.0,Talca  ,5,48915,
306,2025-11-13,Moda,2111,1371,Camila Martínez,31.0,Santiago,4,148466,932.37
195,2025-05-04,Deportes,2157,863,Catalina Céspedes,31.0,Temuco,5,219831,
390,2025-10-11,Juguetes,10813,1742,Valentina Rojas,30.0,Concepción,5,154388,
230,2025-06-06,Hogar,31828,1045,Valentina Vergara,20.0,Valparaíso,2,63224,930.79
216,2025-09-25,Deportes,4552,979,Martina Sepúlveda,25.0,Santiago,9,68242,953.24
35,2025-06-25,Electrónica,31479,175,Gabriel Silva,26.0,Santiago,7,100129,937.89
163,2025-10-23,Moda,57612,716,Pablo González,18.0,Santiago,3,83855,950.46
26,2025-12-18,Moda,8530,121,Lucas Díaz,57.0,Santiago,2,104732,917.45
